Instance,Dim,k,Time,Collisions,Expansions,Cost
19,10x10,4,0.000,0,327,8
20,10x10,4,0.000,1,137852,11
21,10x10,4,1.000,1,543556,7
22,10x10,4,0.000,0,515,8
23,10x10,4,2.000,2,647519,7
24,10x10,4,0.000,0,223,5
25,10x10,4,0.000,0,199,5
26,10x10,4,0.000,1,4510,8
27,10x10,4,0.000,0,501,9
28,10x10,4,0.000,0,65,3
29,10x10,4,0.000,1,1909,7
30,10x10,4,0.000,0,310,7
31,10x10,4,0.000,0,215,8
32,10x10,4,0.000,0,490,7
33,10x10,4,0.000,0,310,7
34,10x10,4,0.000,0,270,8
35,10x10,4,0.000,0,561,8
36,10x10,4,0.000,0,331,8
37,10x10,4,0.000,1,35900,8
38,10x10,4,3.000,1,1118718,7
39,10x10,4,2.000,1,1133383,8
40,10x10,4,0.000,0,449,8
41,10x10,4,0.000,0,494,9
42,10x10,4,1.000,0,296,6
43,10x10,4,0.000,0,470,8
44,10x10,4,1.000,1,537423,9
45,10x10,4,0.000,0,207,7
46,10x10,4,0.000,1,1636,9
47,10x10,4,0.000,0,383,9
48,10x10,4,0.000,0,450,10
